fecha_anual_esp	titulo_anual_esp	expediente_icaa	confidence	reason	title_score	titulo_icaa	fecha_estreno_icaa	url
2025-05-16	091 policia al habla		no encontrado	sin candidato aceptable				
2025-06-12	117 moon		no encontrado	sin candidato aceptable				
2022-06-24	12 palabras phoenix		no encontrado	sin candidato aceptable				
2011-11-25	14 de abril macia contracompanys		no encontrado	sin candidato aceptable				
2023-03-31	19		no encontrado	sin candidato aceptable				
2020-11-27	2020		no encontrado	sin candidato aceptable				
2020-09-04	2 anos 4 meses		no encontrado	sin candidato aceptable				
2019-05-07	3		no encontrado	sin candidato aceptable				
2022-05-23	33 anos de oscuridad		no encontrado	sin candidato aceptable				
2022-04-22	75 dias los crimenes de alcasser		no encontrado	sin candidato aceptable				
2021-05-31	75 dias se realiza siguiendo el criterio de semanas cinematograficas		no encontrado	sin candidato aceptable				
2025-04-30	7º dia		no encontrado	sin candidato aceptable				
2023-01-20	8 anos phoenix		no encontrado	sin candidato aceptable				
2024-03-22	abadesa la se realiza siguiendo el criterio de semanas cinematograficas		no encontrado	sin candidato aceptable				
2021-06-02	absolucion		no encontrado	sin candidato aceptable				
2024-09-13	abuela y el forastero		no encontrado	sin candidato aceptable				
2016-06-03	acantilado		no encontrado	sin candidato aceptable				
2021-09-29	a contracorriente		no encontrado	sin candidato aceptable				
2025-12-12	adios cuba		no encontrado	sin candidato aceptable				
2022-03-09	a dios pongo por testigo se realiza siguiendo el criterio de semanas cinematograficas	170622	revisar	titulo fuerte; fecha distinta o ausente	1.0	DIOS PONGO POR TESTIGO	28/03/2023	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=170622
2023-12-18	adn de la memoria		no encontrado	sin candidato aceptable				
2015-11-13	adopcion		no encontrado	sin candidato aceptable				
2025-02-18	a dos velas se realiza siguiendo el criterio de semanas cinematograficas		no encontrado	sin candidato aceptable				
2019-03-22	advertencia cuanto ensuciamos cuando limpiamos		no encontrado	sin candidato aceptable				
2014-10-10	a escondidas		no encontrado	sin candidato aceptable				
2021-09-30	aguantando er tipo		no encontrado	sin candidato aceptable				
2022-02-11	agua tiempos		no encontrado	sin candidato aceptable				
2023-10-06	ahora la luz cae vertical		no encontrado	sin candidato aceptable				
2024-05-10	aire		no encontrado	sin candidato aceptable				
2020-10-02	akelarre avalon	123717	media	titulo fuerte; fecha cercana (4 dias)	1.0	AKELARRE	28/09/2020	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=123717
2026-05-15	a la cara		no encontrado	sin candidato aceptable				
2019-11-28	alaska un reto de vida		no encontrado	sin candidato aceptable				
2022-04-29	alcarras avalon		no encontrado	sin candidato aceptable				
2023-03-31	alegres tiempos el concierto		no encontrado	sin candidato aceptable				
2021-11-19	algo salvaje la historia de bambino phoenix		no encontrado	sin candidato aceptable				
2018-06-17	alguer un pentagrama como una calle		no encontrado	sin candidato aceptable				
2024-12-17	aliento		no encontrado	sin candidato aceptable				
2022-05-27	alma anciana		no encontrado	sin candidato aceptable				
2024-11-20	al margen the		no encontrado	sin candidato aceptable				
2025-05-16	alma un sueno musical maravillas		no encontrado	sin candidato aceptable				
2025-05-16	almudena	146424	media	titulo fuerte; fecha cercana (7 dias)	1.0	ALMUDENA	09/05/2025	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=146424
2025-11-26	al oeste en zapata		no encontrado	sin candidato aceptable				
2025-05-16	a lo loco		no encontrado	sin candidato aceptable				
2024-04-23	a los que aman		no encontrado	sin candidato aceptable				
2016-04-01	altamira	69910	alta	titulo y fecha exactos	1.0		01/04/2016	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=69910
2023-04-25	alternativas construyendo futuros posibles		no encontrado	sin candidato aceptable				
2017-07-14	alumbrar las 1001 novias		no encontrado	sin candidato aceptable				
2025-07-24	alyonka sonada		no encontrado	sin candidato aceptable				
2021-07-16	ama	30020	media	titulo fuerte; fecha cercana (14 dias)	1.0	AMA	02/07/2021	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=30020
2020-11-20	amalia en otono		no encontrado	sin candidato aceptable				
2022-04-01	amame		no encontrado	sin candidato aceptable				
2023-11-17	amanece	118920	media	titulo fuerte; fecha cercana (2 dias)	1.0	AMANECE	15/11/2023	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=118920
