"titulo_normalizado","fecha_estreno"
"091 policia al habla","2025-05-16"
"117 moon","2025-06-12"
"12 palabras phoenix","2022-06-24"
"14 de abril macia contracompanys","2011-11-25"
"19","2023-03-31"
"2020","2020-11-27"
"2 anos 4 meses","2020-09-04"
"3","2019-05-07"
"33 anos de oscuridad","2022-05-23"
"75 dias los crimenes de alcasser","2022-04-22"
"75 dias se realiza siguiendo el criterio de semanas cinematograficas","2021-05-31"
"7º dia","2025-04-30"
"8 anos phoenix","2023-01-20"
"abadesa la se realiza siguiendo el criterio de semanas cinematograficas","2024-03-22"
"absolucion","2021-06-02"
"abuela y el forastero","2024-09-13"
"acantilado","2016-06-03"
"a contracorriente","2021-09-29"
"adios cuba","2025-12-12"
"a dios pongo por testigo se realiza siguiendo el criterio de semanas cinematograficas","2022-03-09"
"adn de la memoria","2023-12-18"
"adopcion","2015-11-13"
"a dos velas se realiza siguiendo el criterio de semanas cinematograficas","2025-02-18"
"advertencia cuanto ensuciamos cuando limpiamos","2019-03-22"
"a escondidas","2014-10-10"
"aguantando er tipo","2021-09-30"
"agua tiempos","2022-02-11"
"ahora la luz cae vertical","2023-10-06"
"aire","2024-05-10"
"akelarre avalon","2020-10-02"
"a la cara","2026-05-15"
"alaska un reto de vida","2019-11-28"
"alcarras avalon","2022-04-29"
"alegres tiempos el concierto","2023-03-31"
"algo salvaje la historia de bambino phoenix","2021-11-19"
"alguer un pentagrama como una calle","2018-06-17"
"aliento","2024-12-17"
"alma anciana","2022-05-27"
"al margen the","2024-11-20"
"alma un sueno musical maravillas","2025-05-16"
"almudena","2025-05-16"
"al oeste en zapata","2025-11-26"
"a lo loco","2025-05-16"
"a los que aman","2024-04-23"
"altamira","2016-04-01"
"alternativas construyendo futuros posibles","2023-04-25"
"alumbrar las 1001 novias","2017-07-14"
"alyonka sonada","2025-07-24"
"ama","2021-07-16"
"amalia en otono","2020-11-20"
"amame","2022-04-01"
"amanece","2023-11-17"
"amanece en calcuta european","2021-04-16"
"amanece que no es poco","2023-03-23"
"amanecer","2021-09-17"
"amante del silencio","2017-06-01"
"amantes","2021-02-26"
"amigas de agata","2016-06-10"
"amigas de agata las avalon","2016-06-10"
"amigo","2020-11-09"
"aminetu","2025-11-08"
"amor en su lugar","2021-12-03"
"amor en toda la cara","2024-06-07"
"amor y la muerte el historia de enrique granados margenes","2018-11-09"
"anaga naturaleza infinita","2024-12-13"
"anaga naturaleza infinita se realiza siguiendo el criterio de semanas cinematograficas","2024-12-13"
"ana y los lobos","2023-02-28"
"andromedas","2021-03-06"
"angel","2018-10-31"
"angelica","2017-09-29"
"angel llamado rebeca european","2024-04-26"
"anibal el arquitecto de sevilla","2023-11-24"
"animal de compania","2017-06-16"
"animales sin collar entertainment","2018-10-19"
"animal humano margenes","2024-04-05"
"animals","2012-10-26"
"ano mas","2019-11-22"
"ano una noche","2022-10-21"
"ano y un dia","2025-03-21"
"antologia de l atzar","2021-09-30"
"antonio el bailarin de espana","2025-11-25"
"antonio gonzalez hombre de ciencia y conciencia","2019-02-20"
"antonio machado los dias azules se realiza siguiendo el criterio de semanas cinematograficas","2020-12-04"
"a nuestros amigos margenes","2025-04-04"
"anwar","2022-11-25"
"apuntes para una pelicula de atracos avalon","2018-12-05"
"aquel ultimo tiburon","2025-11-15"
"arantzazu","2024-04-12"
"arca de noe","2017-06-09"
"archipielago indomito","2019-05-10"
"arenas de silencio","2018-11-14"
"arizmendiarrieta el hombre cooperativo urresti","2018-05-11"
"armas no borraran tu sonrisa","2024-01-25"
"arnasa betean a pulmon","2023-11-09"
"aroak","2024-09-25"
"arrebato","2022-04-20"
"art d alcada","2024-03-12"
"artefacto 71","2024-09-05"
"artifacts assembly","2024-05-04"
"asamblea","2019-05-17"
"asedio","2023-05-05"
"asi crecen los enanos","2022-11-03"
"aspirante","2024-09-20"
"astral","2016-10-12"
"astrid","2021-02-27"
"ataud de cristal","2018-05-18"
"atin aya retrato del silencio maravillas","2025-03-07"
"aullar cineand","2025-11-21"
"aun","2022-04-27"
"aurora","2025-03-07"
"auteretrato urresti","2019-09-13"
"auto das animas o","2024-05-03"
"ay carmela","2022-11-13"
"azahar","2019-06-28"
"b","2015-09-18"
"bajo la rosa","2017-11-19"
"balada perdida","2023-09-15"
"bala la se realiza siguiendo el criterio de semanas cinematograficas","2025-11-21"
"balandrau infierno helado","2021-05-12"
"balearic","2025-12-12"
"banda","2019-06-21"
"bandera","2024-06-14"
"bano propio","2025-03-07"
"barcelona mon amour","2025-11-28"
"barcelona noche de invierno","2015-12-04"
"barcelona noche de verano","2013-09-06"
"barcelona surf destination","2022-05-31"
"barrio","2023-05-11"
"barro de la revolucion","2020-02-28"
"basotik itsasora","2021-06-05"
"bastarda","2024-05-09"
"b avalon","2015-09-18"
"be happy els","2019-09-20"
"bella","2025-11-28"
"benin infancia robada","2024-07-21"
"bernabeu","2017-11-10"
"bernarda","2018-10-26"
"berserker","2017-04-14"
"beso de dios el european","2022-04-22"
"best day of my life the","2018-03-16"
"bicicletas son para el verano","2022-07-14"
"bidean jarraituz siguiendo en el camino","2023-02-10"
"bienvenido mr banksy","2023-03-03"
"big big big","2020-09-26"
"bikes","2019-04-18"
"binu historia de dos estrellas se realiza siguiendo el criterio de semanas cinematograficas","2024-05-07"
"bisbal","2023-10-12"
"black beach entertainment","2020-09-25"
"blackwood entertainment","2018-08-03"
"blue rai","2017-05-23"
"blues para teheran","2021-07-02"
"bofi","2024-09-21"
"boi","2019-03-29"
"book the moon","2024-11-08"
"bosque del lobo","2022-10-19"
"boye","2016-07-29"
"brava","2017-07-07"
"bruja mas que bruja","2016-07-15"
"buceadores de la luna","2019-07-09"
"buelos nunca es tarde para emprender entertainment","2019-10-11"
"burnout","2025-05-15"
"bury us a punk rock uprising","2021-06-05"
"buscando la pelicula phoenix","2022-07-29"
"caballo de viento","2017-06-14"
"caballos alberto","2023-11-23"
"cabanyal any zero","2019-05-13"
"cada quince dias","2019-02-22"
"caja vacia","2023-02-28"
"calavera resumida","2023-06-29"
"caleta palace","2023-11-24"
"callejeras","2021-10-08"
"calle mayor","2022-10-06"
"cambio de sentido","2023-11-02"
"camera cafe","2022-03-25"
"camino","2008-10-17"
"camino de cova eiros o","2025-10-30"
"camino mas largo para volver a casa","2015-05-29"
"camino sin limites saen rdeoa laiz daj seingeubieando el criterio de semanas cinematograficas","2019-09-06"
"campanadas a medianoche","2025-05-17"
"campeonex se realiza siguiendo el criterio de semanas cinematograficas","2023-08-18"
"canciones de horror","2021-10-16"
"cantabrico","2017-03-31"
"cant dels ocells","2008-12-19"
"cant dels ocells el se realiza siguiendo el criterio de semanas cinematograficas","2008-12-19"
"canto cosmico nino de elche margenes","2022-02-04"
"cantuna","2023-06-22"
"caparros las botas del entrenador maravillas","2024-04-26"
"capitolio contra capitolio","2025-07-04"
"capturar las 1001 novias","2017-03-16"
"carbon","2023-12-29"
"carga","2024-07-25"
"carga el diablo lo","2025-04-25"
"carmen muerte por un sueno","2022-03-24"
"carpetas azules","2022-11-08"
"carrasca","2018-12-07"
"cartas de akyab","2021-10-26"
"cartas perdidas las la carcel y el exilio de las mujeres repub","2022-05-13"
"casa bloc rehabilitacion de una idea","2024-04-18"
"casa en llamas","2024-06-28"
"casals la fuerza de un silencio","2018-05-18"
