titulo,importe_ayuda,presupuesto_proyecto,tipo_ayuda,anio_ayuda
TADEO JONES 4,"1.400.000,00€","12.700.000,00€",generales,2023
BUFFALO KIDS,"1.400.000,00€","12.196.214,00€",generales,2023
SUPERTHINGS RIVALS OF KABOOM,"1.400.000,00€","5.020.000,00€",generales,2023
SOY NEVENKA,"1.200.000,00€","4.600.000,00€",generales,2023
ROMERÍA,"1.200.000,00€","3.192.849,00€",generales,2023
EL CAUTIVO,"1.200.000,00€","9.800.000,00€",generales,2023
SABEN AQUEL QUE DIU....,"1.200.000,00€","4.727.339,07€",generales,2023
CAMPEONEX,"1.200.000,00€","7.650.283,80€",generales,2023
RAQA,"1.200.000,00€","3.187.985,00€",generales,2023
NOSOTROS,"1.200.000,00€","2.410.553,00€",generales,2023
MI AMIGA EVA,"1.200.000,00€","3.649.778,94€",generales,2023
AFTER,"1.200.000,00€","4.920.000,00€",generales,2023
LA SOSPECHA DE SOFÍA,"1.200.000,00€","4.048.640,00€",generales,2023
MENUDAS PIEZAS,"1.200.000,00€","5.000.000,00€",generales,2023
MUGA,"1.200.000,00€","2.400.000,00€",generales,2023
INFERN GLAÇAT,"1.200.000,00€","2.500.000,00€",generales,2023
LOS ÚLTIMOS ROMÁNTICOS,"1.200.000,00€","2.430.866,00€",generales,2023
CAMPAMENTO GARRA DE OSO,"1.200.000,00€","3.200.000,00€",generales,2023
ES EL ENEMIGO?,"1.200.000,00€","3.685.000,00€",generales,2023
AP-6: INFIERNO EN LA AUTOPISTA,"1.200.000,00€","5.602.280,00€",generales,2023
POLÍTICAMENTE INCORRECTOS,"1.200.000,00€","4.836.449,00€",generales,2023
CUERPO ESCOMBRO,"1.200.000,00€","4.160.000,00€",generales,2023
LOS AITAS,"1.200.000,00€","3.229.953,00€",generales,2023
EL SER QUERIDO,"1.200.000,00€","9.063.857,00€",generales,2023
LOS TIGRES DE MOMPRACEM,"1.200.000,00€","8.550.500,00€",generales,2023
PÍDEME LO QUE QUIERAS,"1.200.000,00€","5.229.806,00€",generales,2023
WOLFGANG,"1.200.000,00€","4.350.000,00€",generales,2023
LOS SANTOS INDECENTES,"1.200.000,00€","4.155.943,72€",generales,2023
LA BUENA SUERTE,"1.200.000,00€","2.730.600,00€",generales,2023
LA FIERA,"1.200.000,00€","6.800.000,00€",generales,2023
FRONTERA,"1.200.000,00€","2.878.000,00€",generales,2023
TIERRA DE NADIE,"1.200.000,00€","3.933.614,44€",generales,2023
SIGUE MI VOZ,"1.200.000,00€","4.500.000,00€",generales,2023
MASPALOMAS,"1.200.000,00€","5.000.500,00€",generales,2023
RONDALLAS,"1.200.000,00€","5.025.222,18€",generales,2023
LA INFILTRADA,"1.200.000,00€","5.092.837,45€",generales,2023
GOLPES 1982,"1.200.000,00€","3.450.000,00€",generales,2023
KARATEKA,"1.200.000,00€","3.314.284,00€",generales,2023
MALA INFLUENCIA,"1.200.000,00€","4.733.877,67€",generales,2023
SACAMANTECAS,"1.200.000,00€","5.000.100,00€",generales,2023
SIN INSTRUCCIONES,"1.200.000,00€","2.658.875,00€",generales,2023
MIS HIJOS VALEN ORO,"1.200.000,00€","2.967.720,00€",generales,2023
LOOKING FOR MICHAEL,"1.200.000,00€","3.500.000,00€",generales,2023
LA VENTANA ABIERTA,"1.200.000,00€","2.400.000,00€",generales,2023
LAS IRRESPONSABLES,"1.200.000,00€","2.400.000,00€",generales,2023
LA RODA,"1.200.000,00€","2.500.000,00€",generales,2023
11,"1.200.000,00€","2.457.000,00€",generales,2023
LA PIRATA MO Y EL RUBÍ...,"1.190.000,00€","3.026.380,00€",generales,2023
VERANO EN DICIEMBRE,"1.100.000,00€","2.347.965,70€",generales,2023
LEO & LOU,"1.072.000,00€","2.680.000,00€",generales,2023
EL ÁRBOL Y EL RUISEÑOR,"1.040.000,00€","2.600.000,00€",generales,2023
RUIDO,"598.000,00€","2.000.000,00€",generales,2023
QUINOGRAFIA,"28.500,00€","75.000,00€",selectivas,2023
LEVEL,"35.625,00€","96.937,28€",selectivas,2023
IN MEMORIAM BIEL,"49.400,00€","220.980,64€",selectivas,2023
HOY Y EL RESTO DEL MUNDO,"57.000,00€","227.833,57€",selectivas,2023
AS ESTACIÓNS,"66.500,00€","150.000,00€",selectivas,2023
TRES BALAS,"69.884,41€","147.125,08€",selectivas,2023
DREAMS FOR A BETTER PAST,"71.250,00€","100.000,00€",selectivas,2023
MITOLOGÍA DE BARRIO,"76.000,00€","200.500,00€",selectivas,2023
VELINTONIA 3,"77.900,00€","225.480,40€",selectivas,2023
ELEGÍA DE UNA CIUDAD,"81.225,00€","142.000,00€",selectivas,2023
EQUIPO CRÓNICA. ARTE DE TRINCHERA,"81.636,16€","229.916,00€",selectivas,2023
LA PIETÀ,"85.500,00€","180.000,00€",selectivas,2023
DREAMIN',"91.675,00€","195.500,00€",selectivas,2023
"MARISOL, LLÁMAME PEPA","95.000,00€","200.000,00€",selectivas,2023
LA RESERVA,"98.292,00€","196.584,00€",selectivas,2023
AMÍLCAR,"98.908,30€","208.229,00€",selectivas,2023
LA MISTERIOSA MIRADA DEL FLAMENCO,"99.630,00€","199.260,00€",selectivas,2023
YOU PLAY MY FATHER,"99.819,82€","210.147,00€",selectivas,2023
UNA PELÍCULA DE MIEDO,"104.500,00€","220.000,00€",selectivas,2023
COMO TODO MORTAL,"105.882,88€","139.955,67€",selectivas,2023
LOS RENACIDOS,"109.204,33€","375.000,00€",selectivas,2023
ONLY ON EARTH,"117.878,00€","235.757,00€",selectivas,2023
EL HOMBRE BUENO DE PACHALUM,"123.025,00€","259.900,00€",selectivas,2023
CAMIONERO,"129.469,28€","287.709,52€",selectivas,2023
UN HOMBRE LIBRE,"131.210,20€","300.000,00€",selectivas,2023
LA SINSORGA,"134.570,27€","283.305,85€",selectivas,2023
RETRATO DE UNA CERILLA,"134.900,00€","284.750,00€",selectivas,2023
MIENTRAS SEAS TÚ,"140.000,00€","376.000,00€",selectivas,2023
EL GUARDIAN,"146.300,00€","308.515,00€",selectivas,2023
LAS QUE SE ATREVIERON,"147.250,00€","321.041,00€",selectivas,2023
REINAS,"150.000,00€","600.539,00€",selectivas,2023
CUANDO SE GIRAN LAS SOMBRAS,"159.600,00€","336.497,30€",selectivas,2023
ESTE CUERPO MÍO,"168.472,80€","374.384,00€",selectivas,2023
QUI SOM,"171.640,00€","343.280,00€",selectivas,2023
LAS CHICAS ESTÁN BIEN,"172.425,00€","363.000,00€",selectivas,2023
MUCHA MIERDA,"175.750,00€","344.766,00€",selectivas,2023
LES CULPABLES,"190.006,65€","400.014,00€",selectivas,2023
EL DESHIELO,"199.679,90€","285.257,00€",selectivas,2023
"PACO RABANNE, UNA VIDA...","201.819,90€","424.884,00€",selectivas,2023
LA HABITACION BLANCA,"212.664,00€","425.328,00€",selectivas,2023
THE SLEEPER,"228.000,00€","480.165,00€",selectivas,2023
ASÍ LLEGÓ LA NOCHE,"250.000,00€","785.577,09€",selectivas,2023
PEQUEÑOS CALVARIOS,"280.250,00€","834.341,87€",selectivas,2023
EL PUMA,"285.000,00€","572.112,00€",selectivas,2023
JULIA,"300.000,00€","1.000.000,00€",selectivas,2023
OFELIA,"300.000,00€","462.462,00€",selectivas,2023
BAJO EL MISMO SOL,"300.000,00€","500.000,00€",selectivas,2023
BAILAR LA MUERTE,"314.828,76€","662.797,40€",selectivas,2023
SYNTONY,"351.500,00€","798.000,00€",selectivas,2023
VOLVERÉIS,"365.750,00€","550.000,00€",selectivas,2023
LA VOZ QUEBRADA,"495.000,00€","990.250,00€",selectivas,2023
TRALOVENTO,"505.935,80€","1.065.129,00€",selectivas,2023
LA NADADORA,"527.250,00€","1.430.462,31€",selectivas,2023
"MANTIS, LAS","560.370,00€","1.120.740,39€",selectivas,2023
LIONEL,"583.228,75€","1.227.850,00€",selectivas,2023
CIUDAD SIN SUEÑO,"600.000,00€","1.200.000,00€",selectivas,2023
SINGULAR,"628.397,33€","1.653.677,20€",selectivas,2023
GEL/HIELO/GLATSCH,"646.000,00€","1.367.530,44€",selectivas,2023
LA GANG,"700.000,00€","1.400.000,00€",selectivas,2023
MÁS BARATO QUE ROBAR,"711.550,00€","1.499.292,00€",selectivas,2023
BAJO RISCO,"750.000,00€","1.500.000,00€",selectivas,2023
HARTA,"750.000,00€","1.700.000,00€",selectivas,2023
TRES NOCHES NEGRAS,"750.000,00€","1.500.000,00€",selectivas,2023
ESTRANY RIU,"755.000,00€","1.670.000,00€",selectivas,2023
"KORRI, KURU, KORRI!","760.000,00€","1.800.600,00€",selectivas,2023
A LA CARA,"760.000,00€","2.000.164,00€",selectivas,2023
DESECHABLE,"760.000,00€","1.653.100,00€",selectivas,2023
ENTRE LA PEDRA I EL MARTELL,"760.000,00€","1.760.000,00€",selectivas,2023
TODO LO QUE NO SÉ,"760.000,00€","1.645.000,00€",selectivas,2023
EL EXTERIOR,"760.000,00€","1.517.000,00€",selectivas,2023
LA PEÑA,"766.031,00€","1.915.077,83€",selectivas,2023
MUY LEJOS (ZO VER WEG),"783.735,81€","1.800.000,00€",selectivas,2023
FORASTERA,"800.000,00€","1.679.481,00€",selectivas,2023
EL DIA QUE EWAN MC.GREGOR...,"800.000,00€","2.084.000,00€",selectivas,2023
SALEN LAS LOBAS,"800.000,00€","1.646.576,00€",selectivas,2023
EACH OF US,"800.000,00€","2.915.000,00€",selectivas,2023
LA DEUDA,"800.000,00€","2.822.393,04€",selectivas,2023
DECORADO,"800.000,00€","2.617.200,00€",selectivas,2023
SORDA,"800.000,00€","2.098.677,00€",selectivas,2023
ANEKUMEN,"800.000,00€","2.008.470,00€",selectivas,2023
YO NO MORIRE DE AMOR,"800.000,00€","1.822.681,00€",selectivas,2023
L'HOME DELS NASSOS,"9.403,00€","1.325.755,00€",generales,2022
LA NOVIA AMERICANA,"500.000,00€","1.332.577,00€",generales,2022
ASTRONAUTA,"800.000,00€","2.000.000,00€",generales,2022
CON LOS AÑOS QUE ME QUEDAN,"882.593,60€","2.206.484,00€",generales,2022
LA TERNURA,"900.000,00€","4.185.545,00€",generales,2022
UNA CASA EN FLAMES,"900.000,00€","2.700.001,00€",generales,2022
SUPER BERNARD,"900.000,00€","2.700.000,00€",generales,2022
